序号,单元,来源,习题描述,答案,答案验证,类型,等级,备注,日期
1,第一章,书籍P8例题,计算$3x^3 +4x^2-5x+6$与$x^2-3x+1$的商和余式,"q(x)=3x+13,r(x)=31x-7",书本,商和余式计算,基础,按过程计算就可以了,1
2,第一章,书籍P15例题,"设$f(x)=x^4+3x^3-x^2-4x-3$与$g(x) = 3x^3+10x^2+2x-3$，求$(f(x),g(x))$，并求$u(x),v(x)$使得$(f(x),g(x))=u(x)f(x)+v(x)g(x)$","$(f(x),g(x))=x+3$,$u(x) =\frac{3}{5}x-1$,$v(x)=-\frac{1}{5}x^2+\frac{2}{5}x$",书本,公因式,基础,按过程计算就可以了,1
3,第一章,书籍习题1（1）,"用g(x)除f(x),求商q(x)与余式r(x)
$f(x) = x^3-3x^2-x-1$,$g(x)=3x^2-2x+1$","$q(x)=\frac{1}{3}x-\frac{7}{9}$,
$r(x)=-\frac{26}{9}-\frac{2}{9}$",http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,1
4,第一章,书籍习题1（2）,"用g(x)除f(x),求商q(x)与余式r(x)
$f(x) =x^4-2x+5$,$g(x)=x^2-x+2$","$q(x)=x^2+x-1$,
$r(x)=-5x+7$",http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,1
5,第一章,书籍习题2（1）,mpq适合什么条件时有$x^2+mx-1|x^3+px+q$,$r(x)=(p+1+m^2)x+(q-m)=0$,http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,0
6,第一章,书籍习题2（2）,mpq适合什么条件时有$x^2+mx+1|x^4+px^2+q$,"$r(x)=m(2-p-m^2)x + (q+1-p-m^2)=0$
当m=0，p=q+1;
当$2-p-m^2=0$,q=1;",http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,1
7,第一章,书籍习题3（1）,"用g(x)除f(x),求商q(x)与余式r(x)
$f(x)=2x^5-5x^3-8x$,$g(x)=x+3$","$q(x)=2x^4-6x^3+13x^2-39x+109$
$r(x)=-327$",http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,0
8,第一章,书籍习题3（2）,"用g(x)除f(x),求商q(x)与余式r(x)
$f(x)=x^3-x^2-x$,$g(x)=x-1+2i$","$q(x)=x^2-2ix-(5+2i)$
$r(x)=-9+8i$",http://www.doc88.com/p-1438579887597.html,商和余式计算,基础,按过程计算就可以了,0
9,第一章,书籍习题4（1）,把f(x)表示成(x-x_0)的方幂和，$f(x)=x^5$，x_0=1,$f(x)=1+5(x-1)+10(x-1)^2+10(x-1)^3+5(x-1)^4+(x-1)^5$,http://www.doc88.com/p-1438579887597.html,泰勒展开式,基础,按过程计算就可以了,1
10,第一章,书籍习题4（2）,把f(x)表示成(x-x_0)的方幂和，$f(x)=x^4-2x^2+3$，x_0=-2,$f(x)=11-24(x+2)+22(x+2)^2-8(x+2)^3+(x+2)^4$,http://www.doc88.com/p-1438579887597.html,泰勒展开式,基础,按过程计算就可以了,0
11,第一章,书籍习题4（3）,把f(x)表示成(x-x_0)的方幂和，$f(x)=x^4+2ix^3-(1+i)x^2-3x+7+i$，x_0=-i,$f(x)=(7+5i)-5(x+i)+(-1-i)(x+i)^2-2i(x+i)^3+(x+i)^4$,http://www.doc88.com/p-1438579887597.html,泰勒展开式,基础,按过程计算就可以了,0
12,第一章,书籍习题5（1）,"求$f(x)=x^4+x^3-3x^2-4x-1$,$g(x)=x^3+x^2-x-1$的最大公因式",x+1,http://www.doc88.com/p-1438579887597.html,公因式,基础,按过程计算就可以了,
13,第一章,书籍习题5（2）,"求$f(x)=x^4-4x^3+1$,$g(x)=x^3-3x^2+1$的最大公因式",1,http://www.doc88.com/p-1438579887597.html,公因式,基础,按过程计算就可以了,
14,第一章,书籍习题5（3）,"求$f(x)=x^4-10x^2+1$,$g(x)=x^4-4\sqrt{2}x^3+6x^2+4\sqrt{2}x+1$的最大公因式",$x^2-2\sqrt{2}x-1$,http://www.doc88.com/p-1438579887597.html,公因式,基础,按过程计算就可以了,
